	Rewards	Avg_Rewards	Loss	Steps
79	-239.0531513432835	-153.5553830128776	-3.240265130996704	132
80	-261.45649766259356	-154.8874955394173	6.826229095458984	138
81	-130.07413620753195	-154.58489359634552	-1.4026641845703125	105
82	-41.350388154851785	-153.220622446448	1.3000364303588867	134
83	-190.85655172072336	-153.6686692235227	-3.950089454650879	116
84	-55.6260767895384	-152.5152269595935	-3.0289297103881836	102
85	-70.69798754517771	-151.56386371058863	-7.567347526550293	99
86	-18.305435218850448	-150.03215763597098	3.8012943267822266	171
87	-57.26261127459112	-148.97795824550076	-9.461671829223633	284
88	-39.87560965495983	-147.75208916021379	-17.44439125061035	134
89	-139.88506146636462	-147.66467774139323	-7.647036552429199	165
90	-40.41157922688552	-146.48607226321184	-4.182742595672607	99
91	-79.8554600869165	-145.76182647868688	-3.372692108154297	169
92	-48.80919045193916	-144.71932501603368	-4.206465721130371	156
93	-43.76102831944553	-143.64530058309126	-4.314037322998047	104
94	-54.41198737206498	-142.706002549291	-10.26708698272705	108
95	-91.45417071941897	-142.17212930106317	-4.084590911865234	194
96	-94.35576007931175	-141.6791770410451	-6.527617454528809	195
97	-102.28969086073452	-141.27724350859296	-6.071069240570068	245
98	-12.751455503620079	-139.97900322571442	-0.6792201995849609	111
99	-102.92078713773496	-139.60842106483463	-17.29600715637207	128
100	-78.88571220586275	-138.78270996700078	-0.9648678302764893	140
101	-0.6587965182188356	-135.888922703216	-8.3402099609375	99
102	-108.85688361284835	-134.18530095771223	-14.394683837890625	239
103	-273.20304478435185	-134.70745887429962	39.24726867675781	392
104	9.385495265830897	-134.07889472226708	-11.849868774414062	205
105	-51.824694871633	-132.62937170591306	-14.670424461364746	194
106	-604.6630783456269	-138.0244462674385	18.45203399658203	414
107	-97.75070480693829	-136.83471147626184	10.505390167236328	156
108	-20.51418283810098	-135.61558327712058	-3.5609235763549805	127
109	-81.09110744788961	-135.5448622583038	-4.6046905517578125	334
